;;;;;;;;males;;;;females;;;males;females;offspring;;;;
;;;;;;;;white eyes;;;;red eyes;;;red eyes;white eyes;;;;;
vialNr;fliesScoredBy;vialsScoredBy;population;line;mother;cross;genotype;males_whiteeyes_RG;males_whiteeyes_G;males_whiteeyes_R;males_whiteeyes_N;females_redeyes_R;females_redeyes_NR;females_redeyes_unclear;males_redeyes_unclear;females_whiteeyes_NR;offspring_unclear;unhatched;dead;mediumLooks;notes
54;Nicky;Nicky;AK;6;5;2;GD;6;0;10;1;0;0;19;0;0;0;3;0;fresh;
55;Nicky;Nicky;MU;1;5;3;CO;0;26;0;25;0;0;42;0;0;0;3;0;brown;black larvae (5ish)
56;Nicky;Nicky;MA;7;2;3;GD;16;1;24;1;0;0;38;0;0;0;4;0;fresh;
57;Nicky;Nicky;AK;4;1;3;GD;20;2;23;3;0;0;41;0;0;0;7;0;fresh;
58;Nicky;Nicky;AK;4;3;1;GD;0;0;0;0;0;0;0;0;0;0;0;0;fresh;
59;Nicky;Nicky;RE;3;2;1;GD;0;0;0;0;0;0;0;0;0;0;0;0;fresh;
60;Nicky;Nicky;UM;4;1;3;CO;0;0;0;0;0;0;0;0;0;0;0;0;fresh;
61;Nicky;Nicky;KA;7;5;2;CO;0;19;0;13;0;0;29;0;0;0;0;30;brown;black larvae (5ish)
62;Nicky;Nicky;AK;4;3;2;GD;20;3;25;3;0;0;64;0;0;0;1;2;fresh;black larvae (5ish)
63;Nicky;Nicky;RE;3;2;4;GD;10;3;9;1;0;0;31;0;0;0;5;0;fresh;
64;Nicky;Nicky;RE;1;5;1;GD;14;0;17;0;0;0;39;0;0;0;2;0;fresh;
65;Nicky;Nicky;RE;6;3;4;GD;14;1;12;3;0;0;36;0;0;0;1;0;fresh;black larvae (10ish)
66;Nicky;Nicky;KA;4;3;5;GD;13;3;11;1;0;0;33;0;0;0;1;20;brown;black larvae (20ish)
67;Nicky;Nicky;UM;3;5;1;CO;0;18;0;37;0;0;66;0;0;0;5;8;brown;
68;Nicky;Nicky;MU;3;6;1;CO;0;2;0;3;0;0;5;0;0;0;0;0;fresh;
69;Nicky;Nicky;RE;6;5;5;GD;0;0;0;0;0;0;0;0;0;0;0;0;fresh;
70;Nicky;Nicky;KA;3;4;3;CO;0;6;0;5;0;0;10;0;0;0;0;0;fresh;
71;Nicky;Nicky;AK;4;4;3;CO;0;10;0;12;0;0;29;0;0;0;0;0;fresh;
72;Nicky;Nicky;MA;4;4;1;CO;0;19;0;10;0;0;42;0;0;0;0;1;brown;black larvae (10ish)
73;Nicky;Nicky;UM;5;4;5;CO;0;31;0;25;0;0;50;0;0;0;0;0;fresh;
74;Nicky;Nicky;KA;4;3;1;GD;9;0;1;0;0;0;31;16;0;0;0;0;brown;black larvae (10ish)
75;Nicky;Nicky;RE;3;3;1;CO;0;21;0;17;0;0;31;0;0;0;0;0;fresh;
76;Nicky;Nicky;AK;5;6;3;GD;7;3;1;1;0;0;6;0;0;0;0;0;fresh;
77;Nicky;Nicky;UM;6;4;2;GD;11;2;11;4;0;0;62;0;0;0;5;2;fresh;
78;Nicky;Nicky;UM;3;1;2;GD;20;1;16;1;0;0;29;0;0;0;0;0;fresh;
79;Nicky;Nicky;KA;4;3;3;GD;11;0;10;1;0;0;25;0;0;0;0;0;fresh;
80;Nicky;Nicky;MU;3;6;5;CO;0;15;0;15;0;0;49;0;0;0;4;0;fresh;
81;Nicky;Nicky;KA;4;6;1;GD;15;1;4;0;0;0;34;11;0;0;2;1;brown;black larvae (20ish)
82;Nicky;Nicky;RE;3;1;1;GD;20;8;27;3;0;0;69;0;0;0;0;0;brown;black larvae (20ish)
83;Nicky;Nicky;KA;2;1;3;GD;17;3;23;5;0;0;45;0;0;0;4;0;fresh;
84;Gabriella;Gabriella;KA;3;4;1;CO;0;2;0;1;0;0;5;0;0;0;0;0;fresh;
85;Gabriella;Gabriella;MU;1;6;1;GD;0;0;0;0;0;0;0;0;0;0;0;0;fresh/fungi on top?;
86;Gabriella;Gabriella;AK;3;2;5;CO;0;0;0;0;0;0;0;0;0;0;0;0;fresh;
87;Gabriella;Gabriella;UM;1;2;2;GD;0;0;0;0;0;0;0;0;0;0;0;0;fresh;
88;Gabriella;Gabriella;KA;4;3;2;GD;28;4;21;2;0;0;42;0;0;0;0;0;fresh;
89;Nicky;Nicky;MA;5;6;2;GD;0;0;0;0;0;0;0;0;0;0;0;0;fresh;
90;Nicky;Nicky;KA;7;3;5;CO;0;0;0;0;0;0;0;0;0;0;0;0;fresh;
